CN (AMCII),CN (AMCI),CN (AMCIII)
0,0,0
1,0,3
2,1,5
3,1,8
4,2,10
5,2,13
6,2,13
7,3,15
8,3,18
9,4,20
10,4,22
11,4,22
12,5,24
13,5,26
14,6,28
15,6,30
16,7,30
17,8,31
18,8,33
19,9,35
20,9,37
21,10,36
22,11,38
23,11,40
24,12,41
25,12,43
26,13,43
27,14,45
28,14,47
29,15,48
30,15,50
31,16,51
32,16,52
33,17,53
34,18,54
35,18,55
36,19,56
37,20,57
38,21,58
39,21,59
40,22,60
41,23,61
42,24,62
43,25,63
44,25,64
45,26,65
46,27,66
47,28,67
48,29,68
49,30,69
50,31,70
51,31,70
52,32,71
53,33,72
54,34,73
55,35,74
56,36,75
57,37,75
58,38,76
59,39,77
60,40,78
61,41,78
62,42,79
63,43,80
64,44,81
65,45,82
66,46,82
67,47,83
68,48,84
69,50,84
70,51,85
71,52,86
72,53,86
73,54,87
74,55,88
75,57,88
76,58,89
77,59,89
78,60,90
79,62,91
80,63,91
81,64,92
82,66,92
83,67,93
84,68,93
85,70,94
86,72,95
87,73,95
88,75,95
89,76,96
90,78,96
91,80,97
92,81,97
93,83,98
94,85,98
95,87,98
96,89,99
97,91,99
98,94,99
99,97,100
100,100,100